Engine_Size_L,Horsepower,Weight_kg,Mileage_km_per_year,Fuel_Tank_Capacity,Age_of_Car,Service_Visits_Per_Year,Fuel_Type,Transmission,Car_Brand,Road_Type,Owner_Type,Fuel_Efficiency_kmpl
1.31,289,995,21651,52.89,3,5,Diesel,Manual,Honda,City,Second,40.87
2.16,382,2301,24158,48.79,11,2,Electric,Automatic,Hyundai,Mixed,First,28.47
1.64,313,1217,16041,58.88,12,5,Electric,Automatic,BMW,Highway,First,35.95
4.72,373,2298,9349,51.93,1,2,Diesel,Automatic,Toyota,Highway,Third,26.0
4.23,367,1406,9965,30.87,9,5,Diesel,Manual,Ford,City,Second,27.09
3.53,352,1367,18492,79.7,2,2,Petrol,Manual,Hyundai,Highway,Third,20.1
4.49,143,1343,18336,57.18,8,3,Electric,Manual,BMW,Highway,Second,30.51
4.21,179,1030,29509,53.68,9,3,Diesel,Manual,Toyota,Highway,Second,35.82
1.75,249,1683,24843,77.73,7,2,Diesel,Manual,Hyundai,Mixed,Third,38.56
4.57,101,1320,22373,37.79,12,5,Electric,Automatic,Toyota,Highway,Third,29.27
3.16,303,1502,17684,39.46,8,3,Petrol,Automatic,Toyota,City,Third,15.54
4.23,351,2023,22321,70.4,4,1,Petrol,Automatic,Hyundai,Highway,Third,14.3
4.58,94,1645,11654,43.04,12,2,Petrol,Manual,Hyundai,Highway,First,16.51
2.27,348,1472,28373,69.96,4,1,Electric,Automatic,BMW,Mixed,Second,33.08
1.44,295,2422,12342,43.58,6,1,Diesel,Manual,Hyundai,Highway,Second,37.56
1.91,126,820,27407,31.66,6,4,Diesel,Manual,BMW,Mixed,First,42.94
2.71,249,2134,7358,55.85,0,1,Diesel,Manual,Toyota,Mixed,Second,33.76
4.27,301,1387,24729,39.83,11,1,Diesel,Manual,Hyundai,Mixed,First,30.14
4.44,356,1697,11360,67.89,14,4,Electric,Manual,BMW,Highway,Second,25.22
1.03,133,2476,26200,62.06,13,4,Petrol,Automatic,BMW,City,First,20.77
3.04,301,2461,8743,76.18,4,4,Petrol,Automatic,Ford,City,First,12.61
2.67,358,2419,12159,69.15,7,5,Petrol,Automatic,BMW,Highway,Second,16.47
1.89,282,2257,5518,39.04,6,4,Petrol,Automatic,BMW,Mixed,Second,18.13
1.48,327,1170,21652,70.01,10,5,Diesel,Manual,Ford,City,Second,37.97
2.35,87,2383,17925,62.09,1,2,Diesel,Automatic,Honda,Highway,Third,37.43
4.77,244,877,19810,63.45,13,5,Electric,Automatic,Hyundai,City,Second,24.53
2.29,298,2365,21239,71.61,7,2,Petrol,Manual,Ford,Highway,Second,20.53
3.08,295,2108,26828,58.69,1,4,Diesel,Manual,BMW,Mixed,Second,33.49
3.81,153,1447,10475,53.3,9,4,Diesel,Manual,BMW,City,Third,30.91
2.45,360,939,9185,61.83,0,2,Diesel,Automatic,Hyundai,Highway,Second,38.41
4.89,315,1352,10161,44.9,10,3,Petrol,Automatic,Toyota,Highway,First,12.93
4.85,179,1797,14580,39.13,10,5,Diesel,Automatic,Ford,City,First,24.96
2.01,323,1081,14886,60.83,13,1,Petrol,Manual,Honda,Highway,Third,24.04
2.99,157,2385,16465,41.69,10,4,Petrol,Manual,Hyundai,City,Third,15.48
2.2,141,2081,25249,34.0,2,5,Electric,Manual,Hyundai,Highway,Third,36.97
2.14,99,2183,16221,30.03,2,5,Electric,Manual,Ford,City,Third,33.06
1.15,241,1239,29395,60.42,5,4,Petrol,Manual,BMW,Mixed,Third,27.86
3.44,378,1069,7335,48.11,11,2,Petrol,Manual,BMW,City,Second,15.12
3.01,246,1957,8674,67.62,2,4,Petrol,Automatic,Honda,Highway,First,18.99
1.21,208,1545,9576,48.76,6,5,Diesel,Manual,Ford,Mixed,First,40.21
2.11,263,2463,19972,54.3,7,3,Diesel,Manual,Hyundai,Mixed,Second,34.07
4.63,255,903,5500,50.35,2,2,Diesel,Manual,Ford,City,Third,29.85
1.96,287,1565,13083,62.53,8,4,Electric,Manual,Toyota,City,Second,32.19
1.58,233,894,13294,47.81,0,1,Petrol,Manual,Hyundai,City,Third,25.9
2.96,230,1528,20720,78.19,14,4,Diesel,Manual,Honda,Mixed,First,33.82
4.94,82,2396,10543,76.81,2,5,Diesel,Manual,Honda,Mixed,First,27.58
1.97,365,1279,24130,72.4,11,5,Electric,Manual,Hyundai,City,Third,32.59
3.69,158,1579,8276,76.02,2,1,Electric,Manual,BMW,Highway,Second,32.37
4.05,393,2064,24469,52.46,6,2,Petrol,Automatic,Hyundai,Mixed,Third,12.06
1.95,111,812,27119,56.82,10,5,Petrol,Automatic,Hyundai,City,Third,24.57
3.91,279,1970,29180,67.1,10,2,Diesel,Automatic,Toyota,Highway,First,30.86
2.47,298,1400,11613,64.81,4,2,Diesel,Automatic,Hyundai,City,Third,33.43
3.53,344,894,16729,74.53,3,4,Diesel,Manual,Ford,Mixed,Second,34.52
3.53,348,1092,6327,65.82,1,2,Diesel,Automatic,Ford,Mixed,Third,32.14
3.14,320,824,12772,79.89,6,5,Diesel,Automatic,Honda,City,First,32.77
1.36,379,2095,15666,47.43,2,5,Electric,Manual,BMW,Highway,Second,35.95
4.34,277,2328,25130,71.65,6,3,Petrol,Manual,Honda,Mixed,Second,12.85
2.28,390,1989,27068,64.88,9,2,Electric,Manual,Toyota,City,First,29.4
1.75,209,1738,21289,64.57,11,3,Petrol,Manual,Hyundai,City,First,21.33
1.16,349,1561,23946,46.29,6,4,Petrol,Automatic,Honda,Highway,Third,25.6
3.36,103,1910,25547,69.28,10,3,Petrol,Manual,Hyundai,Highway,First,20.86
3.71,378,1453,24701,75.02,1,2,Electric,Manual,Honda,Mixed,First,29.61
1.07,87,2469,23820,40.93,6,5,Diesel,Manual,Hyundai,Highway,First,42.02
3.05,126,1784,10769,61.27,5,4,Petrol,Automatic,Honda,Highway,First,20.52
1.91,181,1437,29883,49.61,9,2,Petrol,Automatic,Ford,Mixed,Second,23.56
3.58,74,1290,18663,79.48,3,4,Electric,Manual,Toyota,City,Second,31.9
1.7,251,1964,10918,53.94,10,1,Electric,Automatic,Honda,Mixed,Second,31.82
3.76,82,1926,22473,41.42,4,2,Diesel,Manual,Ford,Mixed,First,33.61
2.55,354,2049,9555,49.09,11,1,Diesel,Automatic,BMW,Highway,Third,32.29
4.75,328,1374,7394,62.69,7,3,Petrol,Manual,Honda,Highway,Third,14.68
1.55,159,1093,27852,33.8,4,2,Electric,Automatic,Hyundai,City,Third,37.44
2.36,173,1695,25388,60.18,2,1,Diesel,Automatic,Toyota,Highway,Third,39.24
1.45,255,2129,5666,76.56,1,5,Diesel,Automatic,Ford,City,Second,34.73
4.7,319,2077,27102,72.52,5,3,Diesel,Manual,Ford,City,Third,25.92
4.51,324,2003,26536,33.38,5,2,Electric,Automatic,Toyota,City,Second,22.47
2.03,145,839,17355,79.67,6,2,Electric,Automatic,Honda,Mixed,Third,37.22
3.64,177,1575,7234,64.94,7,5,Electric,Automatic,Hyundai,Highway,Third,30.15
4.27,225,1319,11335,38.11,3,5,Electric,Manual,BMW,Highway,Second,30.67
3.22,151,2439,22620,30.62,11,1,Electric,Automatic,Honda,City,Second,25.74
3.12,146,1345,23007,38.56,7,1,Petrol,Manual,Toyota,Highway,Third,23.46
1.97,327,1035,22758,71.91,11,1,Petrol,Manual,Honda,City,First,21.82
1.37,196,1262,28659,31.08,0,4,Electric,Manual,Honda,Highway,Third,42.47
4.59,351,2051,16503,41.66,5,3,Petrol,Manual,Toyota,Mixed,Third,11.61
4.6,157,1282,11359,67.87,5,2,Electric,Manual,Toyota,Highway,Third,30.19
3.53,273,1229,21560,59.31,2,3,Petrol,Automatic,BMW,City,Second,17.09
2.36,85,1845,18876,69.14,8,5,Petrol,Manual,Toyota,Mixed,Third,22.33
2.4,220,1142,28088,67.31,11,3,Diesel,Automatic,Toyota,Highway,First,39.06
3.9,323,1863,7928,32.53,11,3,Electric,Automatic,Toyota,Mixed,Third,23.87
4.59,257,1996,12617,74.63,4,1,Petrol,Manual,Ford,City,First,11.29
4.55,398,2262,12614,41.35,14,5,Petrol,Manual,Toyota,City,First,8.0
4.12,101,2002,25099,57.67,0,3,Diesel,Manual,Toyota,Highway,First,34.9
3.57,340,2421,9274,62.21,6,2,Petrol,Automatic,Toyota,City,Third,10.25
1.34,74,932,29970,38.43,9,1,Diesel,Automatic,BMW,Highway,Second,45.44
1.65,399,1150,9971,78.81,14,3,Petrol,Automatic,Honda,City,Second,18.77
4.59,377,2348,13389,54.41,13,5,Diesel,Automatic,Toyota,City,Third,20.83
3.43,238,2363,22352,32.88,2,2,Diesel,Automatic,Toyota,City,Third,28.91
1.04,250,1305,24539,76.86,9,5,Electric,Automatic,BMW,Highway,First,39.56
1.41,247,883,26148,59.31,9,5,Electric,Automatic,Honda,Highway,Third,40.02
3.65,212,1792,7504,64.96,10,5,Petrol,Automatic,BMW,Highway,Second,16.4
1.02,317,2287,29027,56.26,3,4,Electric,Automatic,Hyundai,Highway,Third,36.83
1.64,196,1629,11006,71.74,5,2,Electric,Manual,Hyundai,City,Third,34.49
3.19,332,1660,29346,31.66,7,5,Electric,Automatic,Hyundai,Mixed,Third,29.17
3.77,109,1142,12943,43.42,12,4,Petrol,Manual,Toyota,Highway,First,20.78
3.61,324,2103,22653,53.48,3,1,Petrol,Manual,BMW,City,Third,14.26
1.9,212,1665,22748,33.83,14,4,Electric,Automatic,Toyota,City,Third,31.45
3.85,309,2086,28100,65.3,11,1,Electric,Automatic,Hyundai,Highway,Third,27.01
1.95,297,1989,5923,49.68,8,4,Petrol,Automatic,Honda,Highway,Second,20.37
2.3,267,1092,21854,43.63,7,5,Electric,Automatic,Honda,City,First,32.69
3.99,134,2332,27981,30.17,9,4,Diesel,Automatic,BMW,Highway,First,31.16
3.6,80,2403,15246,65.99,9,4,Petrol,Automatic,Honda,Highway,Second,16.79
4.4,177,2049,17475,71.69,5,5,Petrol,Manual,Hyundai,Mixed,First,14.38
3.63,95,1993,24338,49.75,6,1,Diesel,Manual,BMW,Mixed,Second,33.43
3.27,220,1397,22532,58.21,7,5,Electric,Automatic,BMW,Highway,First,32.65
1.37,290,1444,8086,41.38,1,2,Diesel,Manual,Hyundai,Mixed,First,39.86
2.47,306,1247,19860,61.11,4,4,Electric,Manual,Hyundai,Mixed,First,34.19
2.06,306,1489,22013,30.61,12,2,Electric,Manual,Hyundai,Highway,Third,35.44
1.98,288,1801,12407,54.43,6,5,Petrol,Manual,Hyundai,City,First,19.6
4.89,220,1654,5774,62.21,7,5,Petrol,Manual,BMW,City,Third,10.91
2.57,192,1301,29935,75.91,4,3,Electric,Manual,Honda,City,Third,34.4
4.57,213,1563,13709,49.07,2,2,Diesel,Automatic,Hyundai,City,Third,27.67
3.52,258,2350,21311,68.26,14,3,Petrol,Manual,Ford,Mixed,Second,13.83
4.18,324,1534,6343,59.88,5,2,Electric,Manual,BMW,Mixed,First,26.24
3.01,137,2202,28782,76.35,4,3,Petrol,Manual,Toyota,Highway,First,21.9
3.31,173,2024,15161,49.92,7,3,Petrol,Manual,Honda,Highway,First,19.48
2.97,228,2442,28581,45.95,8,2,Petrol,Automatic,BMW,City,Third,14.65
1.78,378,1049,26400,74.36,8,5,Diesel,Manual,Hyundai,City,First,37.59
3.89,369,2232,16419,32.46,11,1,Diesel,Automatic,Ford,Highway,Third,27.69
2.12,159,1400,12797,36.82,11,5,Electric,Manual,Toyota,Highway,Third,36.74
1.1,325,924,24283,34.12,5,1,Diesel,Automatic,Honda,City,Third,40.01
3.58,289,912,5934,72.16,14,2,Electric,Manual,Hyundai,Mixed,Third,29.12
1.71,78,1780,6986,30.53,3,4,Electric,Manual,BMW,Mixed,First,36.72
4.76,81,1960,26380,73.08,3,5,Petrol,Manual,BMW,Mixed,Third,15.79
4.82,394,2319,19016,52.56,8,3,Petrol,Automatic,Honda,Mixed,Second,8.0
4.66,313,949,27926,30.2,3,5,Diesel,Automatic,Ford,Mixed,Second,30.82
2.48,251,1674,10465,50.08,7,2,Electric,Automatic,Hyundai,Highway,Second,32.87
1.06,353,1142,27695,39.34,8,4,Electric,Automatic,Honda,Highway,Third,39.28
4.71,381,1379,29952,61.22,4,4,Petrol,Manual,Honda,City,First,13.0
2.71,168,1582,14966,63.97,12,5,Petrol,Manual,BMW,Highway,First,22.08
4.87,266,1120,20721,54.38,5,5,Petrol,Automatic,Honda,Highway,Third,16.14
4.85,295,1621,6505,32.03,2,5,Diesel,Manual,Toyota,Highway,Third,29.71
4.41,172,1331,10363,62.81,11,2,Electric,Manual,Toyota,Highway,Third,29.3
2.18,175,2112,20940,72.1,4,1,Electric,Manual,Hyundai,City,Second,32.27
2.54,127,2312,15846,66.02,4,1,Electric,Automatic,Honda,Highway,Third,32.88
4.4,147,1291,6010,71.5,14,3,Petrol,Automatic,BMW,Highway,Third,15.67
2.27,144,1411,19924,40.03,13,2,Diesel,Manual,Hyundai,City,First,36.09
1.68,111,1051,18482,74.44,1,4,Diesel,Automatic,Ford,Highway,First,44.03
3.23,393,1900,24861,46.11,9,3,Petrol,Automatic,BMW,City,Second,13.23
4.74,250,2470,29125,30.67,5,4,Diesel,Automatic,Ford,Mixed,Second,25.69
3.78,102,2215,14369,72.17,8,4,Diesel,Automatic,Hyundai,Mixed,Second,29.7
3.28,140,2235,8857,77.09,10,5,Electric,Manual,Toyota,Highway,Second,30.19
1.39,125,972,14864,62.78,14,4,Petrol,Automatic,BMW,Highway,Third,27.42
3.46,174,1674,15120,41.57,6,4,Petrol,Automatic,BMW,Highway,Third,19.2
4.96,269,1000,25223,42.59,13,2,Petrol,Manual,Hyundai,Highway,Second,16.36
1.56,170,1016,16370,53.33,7,5,Petrol,Automatic,BMW,Mixed,Second,25.58
3.07,325,1175,25652,74.89,1,5,Electric,Manual,BMW,Mixed,First,33.34
4.51,376,2409,7553,37.48,10,3,Diesel,Manual,Hyundai,Highway,First,25.68
3.96,143,810,20489,71.3,12,5,Diesel,Automatic,Honda,City,First,31.84
3.79,240,1835,9389,44.57,13,1,Electric,Manual,Hyundai,City,Second,24.75
3.81,212,1691,21935,70.43,8,2,Diesel,Manual,BMW,Mixed,First,31.94
2.44,235,2413,26950,76.01,2,3,Petrol,Automatic,Hyundai,City,Second,17.33
2.17,330,1234,16089,51.37,9,1,Electric,Automatic,BMW,Highway,Third,34.53
4.24,290,2431,14231,48.25,4,4,Electric,Automatic,Ford,Highway,Second,24.92
4.24,152,1617,27142,70.11,13,1,Petrol,Manual,Ford,Highway,Third,18.06
4.47,251,2196,8051,56.47,6,3,Petrol,Manual,Toyota,Highway,Third,13.85
4.65,376,2096,10322,64.22,3,5,Petrol,Manual,Hyundai,Highway,Second,12.83
3.05,79,1730,16789,61.14,6,2,Diesel,Manual,Hyundai,City,First,34.29
3.01,73,1490,7555,37.64,7,3,Petrol,Manual,Ford,City,Second,19.43
4.19,361,2399,22473,72.24,14,1,Electric,Manual,Ford,Mixed,First,22.38
3.6,350,2332,17767,39.79,12,1,Diesel,Automatic,Ford,Mixed,Third,26.42
3.81,284,1955,5458,76.61,9,3,Diesel,Manual,Toyota,City,Third,27.15
4.18,167,1654,20701,42.53,13,3,Electric,Manual,Toyota,City,Third,25.91
4.56,170,1583,21066,66.69,9,3,Diesel,Automatic,Honda,Mixed,Third,28.97
2.35,78,1118,9721,44.23,3,5,Petrol,Manual,Hyundai,Highway,Second,27.19
2.5,130,1643,17446,45.89,14,3,Petrol,Manual,Toyota,Mixed,Third,20.83
1.38,378,1420,11304,45.5,4,4,Petrol,Manual,BMW,Mixed,First,23.57
3.31,215,1584,18565,67.39,10,2,Petrol,Automatic,Hyundai,City,First,15.53
1.14,132,1991,15199,57.84,2,2,Diesel,Automatic,Honda,Mixed,Third,39.76
2.86,190,1196,6920,74.15,4,4,Electric,Automatic,Ford,Mixed,Second,32.32
3.17,295,2003,18227,45.37,7,1,Diesel,Automatic,Honda,City,Third,29.06
2.15,174,1881,12694,64.6,2,1,Electric,Manual,Hyundai,Highway,Third,36.4
3.36,329,2303,27052,67.65,14,1,Electric,Manual,Ford,Highway,First,28.14
1.12,324,2414,11298,37.57,13,1,Petrol,Automatic,Honda,Highway,Second,20.71
1.15,276,1259,11629,50.03,12,5,Diesel,Manual,Honda,City,Second,38.17
4.29,97,860,17719,54.14,4,4,Petrol,Manual,Hyundai,Mixed,First,20.09
2.44,239,1168,10146,47.78,9,2,Diesel,Manual,Toyota,Highway,First,38.73
1.51,145,1944,22387,46.11,0,4,Diesel,Automatic,BMW,Mixed,First,39.55
3.09,185,1518,24467,64.32,1,2,Petrol,Manual,Honda,City,Second,20.18
4.08,138,1345,15306,40.79,2,1,Diesel,Automatic,BMW,Highway,First,34.56
1.86,303,2405,7589,65.47,0,5,Petrol,Manual,Hyundai,Highway,First,21.89
3.49,70,1840,9310,76.75,12,3,Electric,Manual,Hyundai,Mixed,First,29.43
1.34,236,1295,7241,58.26,10,3,Petrol,Automatic,Toyota,Highway,Third,25.23
1.21,287,1296,27150,60.57,11,1,Diesel,Automatic,Ford,City,Second,37.96
3.13,342,1304,18601,33.45,10,1,Diesel,Manual,BMW,Mixed,Second,33.28
3.16,320,2355,12711,73.22,8,4,Electric,Automatic,Honda,Mixed,Third,25.44
3.55,243,1768,26364,44.27,8,5,Electric,Automatic,Ford,Highway,Second,30.29
3.9,239,2138,5938,60.75,4,5,Electric,Manual,BMW,Highway,First,28.21
4.9,315,1892,9301,78.96,13,4,Petrol,Automatic,BMW,Highway,Third,10.38
3.07,159,960,8970,59.78,3,5,Petrol,Automatic,Ford,Highway,First,23.2
2.29,118,2437,8999,66.24,4,5,Diesel,Automatic,Ford,Mixed,First,33.81
4.18,363,1517,26034,52.27,3,3,Electric,Automatic,Toyota,Mixed,First,26.59
2.08,219,1968,28011,33.02,11,5,Electric,Automatic,Honda,Highway,First,34.18
2.76,201,2392,8408,69.88,4,1,Petrol,Automatic,Honda,Mixed,Second,16.42
1.31,128,2418,18807,31.75,6,3,Diesel,Manual,Honda,City,Third,37.01
